都道府県名,TSO名,TSO_name,pref_name,id
北海道,北海道,Hokkaido,hokkaido,Hokkaido_hokkaido
青森,東北,Tohoku,aomori,Tohoku_aomori
岩手,東北,Tohoku,iwate,Tohoku_iwate
宮城,東北,Tohoku,miyagi,Tohoku_miyagi
秋田,東北,Tohoku,akita,Tohoku_akita
山形,東北,Tohoku,yamagata,Tohoku_yamagata
福島,東北,Tohoku,fukushima,Tohoku_fukushima
茨城,東京,Tokyo,ibaraki,Tokyo_ibaraki
栃木,東京,Tokyo,tochigi,Tokyo_tochigi
群馬,東京,Tokyo,gunma,Tokyo_gunma
埼玉,東京,Tokyo,saitama,Tokyo_saitama
千葉,東京,Tokyo,chiba,Tokyo_chiba
東京,東京,Tokyo,tokyo,Tokyo_tokyo
神奈川,東京,Tokyo,kanagawa,Tokyo_kanagawa
新潟,東北,Tohoku,niigata,Tohoku_niigata
富山,北陸,Hokuriku,toyama,Hokuriku_toyama
石川,北陸,Hokuriku,ishikawa,Hokuriku_ishikawa
福井,北陸,Hokuriku,fukui,Hokuriku_fukui
山梨,東京,Tokyo,yamanashi,Tokyo_yamanashi
長野,中部,Chubu,nagano,Chubu_nagano
岐阜,中部,Chubu,gifu,Chubu_gifu
静岡,中部,Chubu,shizuoka,Chubu_shizuoka
愛知,中部,Chubu,aichi,Chubu_aichi
三重,中部,Chubu,mie,Chubu_mie
滋賀,関西,Kansai,shiga,Kansai_shiga
京都,関西,Kansai,kyoto,Kansai_kyoto
大阪,関西,Kansai,osaka,Kansai_osaka
兵庫,関西,Kansai,hyogo,Kansai_hyogo
奈良,関西,Kansai,nara,Kansai_nara
和歌山,関西,Kansai,wakayama,Kansai_wakayama
鳥取,中国,Chugoku,tottori,Chugoku_tottori
島根,中国,Chugoku,shimane,Chugoku_shimane
岡山,中国,Chugoku,okayama,Chugoku_okayama
広島,中国,Chugoku,hiroshima,Chugoku_hiroshima
山口,中国,Chugoku,yamaguchi,Chugoku_yamaguchi
徳島,四国,Shikoku,tokushima,Shikoku_tokushima
香川,四国,Shikoku,kagawa,Shikoku_kagawa
愛媛,四国,Shikoku,ehime,Shikoku_ehime
高知,四国,Shikoku,kochi,Shikoku_kochi
福岡,九州,Kyushu,fukuoka,Kyushu_fukuoka
佐賀,九州,Kyushu,saga,Kyushu_saga
長崎,九州,Kyushu,nagasaki,Kyushu_nagasaki
熊本,九州,Kyushu,kumamoto,Kyushu_kumamoto
大分,九州,Kyushu,oita,Kyushu_oita
宮崎,九州,Kyushu,miyazaki,Kyushu_miyazaki
鹿児島,九州,Kyushu,kagoshima,Kyushu_kagoshima
沖縄,沖縄,Okinawa,okinawa,Okinawa_okinawa
