timesteps,Hokkaido_hokkaido,Tohoku_aomori,Tohoku_iwate,Tohoku_miyagi,Tohoku_akita,Tohoku_yamagata,Tohoku_fukushima,Tokyo_ibaraki,Tokyo_tochigi,Tokyo_gunma,Tokyo_saitama,Tokyo_chiba,Tokyo_tokyo,Tokyo_kanagawa,Tohoku_niigata,Hokuriku_toyama,Hokuriku_ishikawa,Hokuriku_fukui,Tokyo_yamanashi,Chubu_nagano,Chubu_gifu,Chubu_shizuoka,Chubu_aichi,Chubu_mie,Kansai_shiga,Kansai_kyoto,Kansai_osaka,Kansai_hyogo,Kansai_nara,Kansai_wakayama,Chugoku_tottori,Chugoku_shimane,Chugoku_okayama,Chugoku_hiroshima,Chugoku_yamaguchi,Shikoku_tokushima,Shikoku_kagawa,Shikoku_ehime,Shikoku_kochi,Kyushu_fukuoka,Kyushu_saga,Kyushu_nagasaki,Kyushu_kumamoto,Kyushu_oita,Kyushu_miyazaki,Kyushu_kagoshima,Okinawa_okinawa
2019-01-01 00:00:00,0.83758,0.82753,0.82017,0.81796,0.82037,0.82233,0.82477,0.81177,0.82525,0.82795,0.81314,0.7999,0.77684,0.8021,0.81565,0.8274,0.81007,0.81566,0.82541,0.83702,0.83077,0.80752,0.80965,0.80509,0.81263,0.81302,0.80567,0.81285,0.81965,0.80668,0.82131,0.81085,0.82041,0.81751,0.79815,0.81144,0.79915,0.80129,0.80871,0.79437,0.79353,0.77181,0.79844,0.80286,0.80146,0.76446,0.6873
2019-01-01 01:00:00,0.8385,0.82842,0.82128,0.82001,0.82095,0.82347,0.82586,0.81674,0.82698,0.82961,0.81646,0.80355,0.77992,0.80485,0.81627,0.82818,0.81112,0.81729,0.82949,0.83924,0.83218,0.81058,0.8117,0.80748,0.81345,0.81554,0.80797,0.81666,0.82169,0.80957,0.82458,0.8116,0.82569,0.82044,0.80046,0.81587,0.80306,0.80412,0.81267,0.79682,0.79463,0.77411,0.8018,0.80694,0.8059,0.7684,0.69012
2019-01-01 02:00:00,0.8381,0.8284,0.82032,0.81978,0.82028,0.82256,0.82562,0.81856,0.82815,0.82957,0.81596,0.80374,0.78002,0.80519,0.81552,0.82734,0.81092,0.81816,0.82993,0.83964,0.83245,0.8107,0.81262,0.80854,0.81428,0.81838,0.80985,0.81873,0.82321,0.8107,0.82395,0.80967,0.82634,0.82017,0.80047,0.81651,0.80419,0.80469,0.81385,0.79622,0.79425,0.77557,0.80255,0.80713,0.80714,0.76977,0.69144
2019-01-01 03:00:00,0.83814,0.82843,0.81954,0.81865,0.82092,0.82266,0.82437,0.81497,0.8267,0.82844,0.81456,0.80167,0.77761,0.80332,0.81498,0.82747,0.81066,0.81681,0.82722,0.83803,0.83163,0.80853,0.8113,0.80586,0.81359,0.81661,0.80849,0.81523,0.82087,0.80683,0.81793,0.80613,0.82082,0.81575,0.79824,0.81224,0.80079,0.80131,0.80927,0.7938,0.79253,0.77551,0.79909,0.80355,0.80279,0.76578,0.68765
2019-01-01 04:00:00,0.83906,0.82886,0.82111,0.81953,0.82157,0.8238,0.82504,0.81959,0.82889,0.82997,0.81765,0.80443,0.7804,0.80612,0.81589,0.82853,0.81225,0.82104,0.83135,0.8402,0.83365,0.81202,0.81429,0.8088,0.81731,0.82162,0.81242,0.81939,0.82321,0.8101,0.8171,0.8066,0.82219,0.81721,0.79983,0.81639,0.80396,0.80417,0.81362,0.79482,0.79499,0.77927,0.80033,0.80597,0.80581,0.7685,0.69094
2019-01-01 05:00:00,0.83886,0.82807,0.82062,0.81948,0.82099,0.82304,0.82533,0.82122,0.82975,0.82988,0.81772,0.80497,0.78099,0.8064,0.81601,0.82897,0.81429,0.82394,0.83241,0.84106,0.83479,0.81289,0.81461,0.81012,0.82026,0.82282,0.81329,0.81871,0.82385,0.81114,0.81517,0.80558,0.82172,0.81569,0.79926,0.81714,0.8049,0.80444,0.81425,0.7939,0.79462,0.78095,0.79982,0.80491,0.80637,0.76824,0.69168
2019-01-01 06:00:00,0.83855,0.82919,0.81959,0.81891,0.82075,0.82333,0.82574,0.81753,0.82735,0.8294,0.81636,0.80268,0.77948,0.80497,0.81675,0.82755,0.81241,0.82227,0.82943,0.83938,0.8337,0.81112,0.81386,0.8094,0.81913,0.81911,0.81121,0.8148,0.82214,0.8106,0.81289,0.80386,0.81796,0.81229,0.79618,0.81252,0.80112,0.80055,0.8102,0.79218,0.79464,0.78014,0.79823,0.80254,0.80378,0.76438,0.68738
2019-01-01 07:00:00,0.83994,0.82865,0.8212,0.81994,0.82141,0.82385,0.82649,0.82167,0.83018,0.83166,0.81937,0.80551,0.78202,0.80779,0.81801,0.82916,0.81484,0.82608,0.83261,0.84114,0.83668,0.81333,0.81638,0.81284,0.8222,0.82122,0.81441,0.81661,0.82518,0.81467,0.81178,0.8045,0.81953,0.81413,0.79776,0.81489,0.80238,0.80201,0.81388,0.79506,0.79987,0.7835,0.80016,0.80449,0.80698,0.76693,0.68997
2019-01-01 08:00:00,0.83843,0.82602,0.82006,0.81718,0.82063,0.82169,0.82387,0.81686,0.82609,0.82848,0.81415,0.80163,0.77909,0.80435,0.81673,0.82706,0.81369,0.82289,0.82823,0.83759,0.83368,0.80976,0.81382,0.81048,0.81939,0.81875,0.81211,0.81406,0.82155,0.81126,0.81009,0.80354,0.81736,0.81255,0.79717,0.81276,0.80088,0.80033,0.81196,0.7948,0.79848,0.78408,0.79916,0.80248,0.8054,0.76644,0.69156
2019-01-01 09:00:00,0.83429,0.8221,0.81677,0.80961,0.81742,0.8165,0.81805,0.80588,0.81726,0.8221,0.80473,0.79242,0.77193,0.79497,0.81261,0.81951,0.8049,0.81114,0.81897,0.82927,0.82325,0.79985,0.80439,0.7999,0.80905,0.80895,0.80228,0.80583,0.81018,0.79904,0.80633,0.7977,0.81135,0.80638,0.78927,0.80221,0.7939,0.79139,0.79978,0.7886,0.79067,0.78045,0.79208,0.79462,0.79432,0.75839,0.68674
