,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16
S001,,1,,,,4,,,,,,2,,,,3
S002,,,,,,,,,1,3,,,2,,4,
S003,4,,,,1,3,,2,,,,,,,,
S004,,,,,,4,,,,2,1,,,,3,
S005,2,,,,,1,3,,,,,,,,4,
S006,,2,,4,,,,3,,,,1,,,,
S007,,,,,1,4,,,2,3,,,,,,
S008,3,,,,1,,,,2,,,,4,,,
S009,,,,,,4,,3,,1,,2,,,,
S010,,,,,,1,,2,,,,3,,,,4
S011,4,,,,3,,,,,,,1,,,,2
S012,,,1,,,,4,,,,2,3,,,,
S013,,,,,,,,4,,2,,1,,,,3
S014,2,,,3,1,,,,4,,,,,,,
S015,1,,,3,,,,4,,,,2,,,,
S016,,2,,,1,,4,,,,3,,,,,
S017,,,,,,1,,4,,2,,,,,,3
S018,4,,,,3,,,,,,,1,,,,2
S019,,4,,,,3,,,,,2,1,,,,
S020,,,,,3,1,,,,,,2,,,,4
S021,,1,,,,4,,,,,,2,,,,3
S022,,,,,1,,,3,2,,,,4,,,
S023,2,,,,,,,1,,,,3,4,,,
S024,,1,,2,,3,,4,,,,,,,,
S025,4,,,,2,,,3,,,,,,,,1
S026,4,1,,,,,,,,,,2,,,,3
S027,,3,,,,,,,,,2,1,,,,4
S028,,,,,,,2,1,,,4,3,,,,
S029,,3,,4,,1,,2,,,,,,,,
S030,,2,,,1,,3,,,,,,,,4,
S031,,,,,,,,,,3,2,1,,,,4
S032,4,,,,3,,,,,,,1,,,,2
S033,2,,,,1,,,4,,,,3,,,,
S034,,2,,1,,,,,,,,3,,4,,
S035,,,,3,,,,1,,,,2,,,,4
S036,,,,,,3,,4,1,2,,,,,,
S037,,2,,,,1,,,,,3,,,,4,
S038,,1,,,,4,,,,,3,2,,,,
S039,,,,,,3,,,,1,,,,2,,4
S040,,4,3,,,,,,,2,,1,,,,
S041,,,,2,,,,1,,,,3,,,4,
S042,,2,,,,,,,,,,4,,1,,3
S043,,1,,4,,2,,,,,,,,,,3
S044,,,,,1,3,,2,,,,,4,,,
S045,,,,,,2,,,,1,,3,,,,4
S046,,,,4,,1,,2,,3,,,,,,
S047,4,,,,2,,,,1,,,,,,3,
S048,,,,,,,,3,,1,,,4,2,,
S049,,,,,,2,,,,,1,4,,,3,
S050,4,3,,,,1,2,,,,,,,,,
S051,,,,,,2,,3,,1,,4,,,,
S052,,,,,4,3,,,,2,,,,1,,
S053,,,,,1,,,,3,,2,,,,4,
S054,3,,,,1,,,,2,,,,,,4,
S055,,3,,,,1,,2,,,,4,,,,
S056,,,,,,4,,2,,,,3,,,,1
S057,4,,,,1,,2,,,,3,,,,,
S058,2,,,,,1,,4,,,,,,,,3
S059,,,,,2,,,3,,1,,,,4,,
S060,,,,,,3,,4,1,2,,,,,,
S061,,2,,,,4,,,,,3,1,,,,
S062,,,,,,1,,2,,,,3,,,,4
S063,2,,3,,,,,,,,1,,,4,,
S064,,,,,,3,,4,,,,1,,,,2
S065,,4,,,,2,,,,,1,3,,,,
S066,,2,,,,1,,,,4,,3,,,,
S067,,,,4,,,,3,,1,,,,2,,
S068,,3,,,,1,,,,,,2,,,,4
S069,,,2,,,,4,,,,,,1,,3,
S070,4,,,,3,,,,,,,2,,,,1
S071,,1,,3,,,,,,2,,4,,,,
S072,,1,,,,2,,,,4,,3,,,,
S073,,4,,,,,,,,,,1,,3,,2
S074,2,,3,,,,4,,,,1,,,,,
S075,4,2,,,3,1,,,,,,,,,,
S076,,3,,,,2,,,,1,,4,,,,
S077,4,,,,1,,,3,,,,2,,,,
S078,4,,,,3,,,2,,,,1,,,,
S079,,,,2,1,,,,,,3,,,,,4
S080,,,,,,,,3,,2,,1,,4,,
S081,,,,3,,,,1,,,,2,,,,4
S082,,,,4,,,,3,,,,2,,,,1
S083,,,,,,1,,2,,3,,,,4,,
S084,,1,,2,,3,,4,,,,,,,,
S085,,,,,,2,,,,,,4,,1,,3
S086,,3,,,,,,,,2,,4,,1,,
S087,,3,,,,,,4,1,,,2,,,,
S088,,,3,,,2,,,,1,,,,4,,
S089,3,4,,,2,1,,,,,,,,,,
S090,,2,,,,,1,,,3,,4,,,,
S091,,,3,2,,1,,,,,,,,4,,
S092,,,,,,3,,4,,,1,,2,,,
S093,,4,,,,2,,,,,1,,,,,3
S094,,2,,,,,,1,,4,,3,,,,
S095,,,,4,,,,3,,1,,,2,,,
S096,,3,,,,1,,,,,,,2,,,4
S097,,,2,,,,4,,,,,1,,,3,
S098,4,,,,3,,,,,,,,2,,,1
S099,,1,,3,,,,2,,,,4,,,,
S100,,,,,,1,,2,,4,,3,,,,
